enrolled_days,absence_date,student_id,school_id,type,grade,export_date
47,11/14/2017,100000,1036,UA,11,1-Dec-17
47,10/5/2017,100000,1036,EA,11,1-Dec-17
47,10/10/2017,100000,1036,UA,11,1-Dec-17
47,10/30/2017,100001,1144,UA,5,1-Dec-17
47,11/3/2017,100001,1144,UA,5,1-Dec-17
47,10/6/2017,100001,1144,UA,5,1-Dec-17
47,10/5/2017,100002,1089,EA,5,1-Dec-17
47,10/6/2017,100002,1089,UA,5,1-Dec-17
47,10/16/2017,100002,1089,EA,5,1-Dec-17
47,9/20/2017,100002,1089,EA,5,1-Dec-17
47,11/1/2017,100003,1095,UA,5,1-Dec-17
47,10/26/2017,100004,1139,UA,9,1-Dec-17
47,10/20/2017,100004,1139,UA,9,1-Dec-17
47,10/9/2017,100004,1139,UA,9,1-Dec-17
47,9/20/2017,100005,1083,UA,3,1-Dec-17
47,10/18/2017,100005,1083,UA,3,1-Dec-17
,11/2/2017,100006,1083,UA,4,1-Dec-17
,11/8/2017,100006,1083,UA,4,1-Dec-17
,9/26/2017,100006,1083,UA,4,1-Dec-17
47,11/1/2017,100007,1023,EA,4,1-Dec-17
38,10/26/2017,100008,1024,UA,4,1-Dec-17
38,10/27/2017,100008,1024,UA,4,1-Dec-17
38,9/20/2017,100008,1024,UA,4,1-Dec-17
38,10/18/2017,100008,1024,UA,4,1-Dec-17
38,11/1/2017,100008,1024,UA,4,1-Dec-17
38,9/26/2017,100008,1024,UA,4,1-Dec-17
38,10/30/2017,100008,1024,UA,4,1-Dec-17
38,10/10/2017,100008,1024,UA,4,1-Dec-17
38,10/11/2017,100008,1024,UA,4,1-Dec-17
38,11/6/2017,100008,1024,UA,4,1-Dec-17
38,10/23/2017,100008,1024,UA,4,1-Dec-17
38,11/14/2017,100008,1024,UA,4,1-Dec-17
47,9/14/2017,100009,1125,UA,1,1-Dec-17
47,10/5/2017,100009,1125,UA,1,1-Dec-17
47,10/18/2017,100009,1125,UA,1,1-Dec-17
47,10/27/2017,100009,1125,UA,1,1-Dec-17
47,10/23/2017,100010,1118,EA,6,1-Dec-17
47,10/6/2017,100010,1118,EA,6,1-Dec-17
47,9/27/2017,100010,1118,EA,6,1-Dec-17
47,9/26/2017,100010,1118,EA,6,1-Dec-17
47,11/2/2017,100011,1139,UA,11,1-Dec-17
47,11/3/2017,100011,1139,UA,11,1-Dec-17
47,10/2/2017,100011,1139,UA,11,1-Dec-17
47,9/26/2017,100011,1139,UA,11,1-Dec-17
47,10/4/2017,100011,1139,UA,11,1-Dec-17
47,11/8/2017,100012,1061,EA,7,1-Dec-17
47,10/30/2017,100012,1061,EA,7,1-Dec-17
47,10/13/2017,100012,1061,EA,7,1-Dec-17
47,10/12/2017,100012,1061,EA,7,1-Dec-17
47,11/1/2017,100013,1128,UA,11,1-Dec-17
47,10/4/2017,100014,1018,EA,5,1-Dec-17
47,10/25/2017,100015,1098,UA,3,1-Dec-17
47,9/25/2017,100015,1098,UA,3,1-Dec-17
47,11/2/2017,100015,1098,UA,3,1-Dec-17
47,9/26/2017,100015,1098,UA,3,1-Dec-17
47,10/11/2017,100015,1098,UA,3,1-Dec-17
47,10/9/2017,100016,1144,UA,5,1-Dec-17
47,10/16/2017,100017,1105,UA,9,1-Dec-17
47,10/26/2017,100017,1105,UA,9,1-Dec-17
47,11/1/2017,100017,1105,UA,9,1-Dec-17
47,10/30/2017,100017,1105,UA,9,1-Dec-17
47,10/26/2017,100018,1141,UA,4,1-Dec-17
47,10/11/2017,100019,1164,UA,2,1-Dec-17
47,9/12/2017,100020,1187,EA,7,1-Dec-17
47,11/3/2017,100020,1187,EA,7,1-Dec-17
47,10/6/2017,100020,1187,EA,7,1-Dec-17
47,10/11/2017,100021,1061,EA,9,1-Dec-17
47,9/6/2017,100021,1061,EA,9,1-Dec-17
47,9/20/2017,100021,1061,UA,9,1-Dec-17
47,10/25/2017,100021,1061,UA,9,1-Dec-17
47,11/1/2017,100021,1061,EA,9,1-Dec-17
47,11/3/2017,100021,1061,EA,9,1-Dec-17
47,9/29/2017,100021,1061,UA,9,1-Dec-17
47,9/25/2017,100022,1025,EA,10,1-Dec-17
47,9/26/2017,100022,1025,EA,10,1-Dec-17
47,10/9/2017,100022,1025,EA,10,1-Dec-17
47,10/25/2017,100022,1025,UA,10,1-Dec-17
47,10/6/2017,100022,1025,UA,10,1-Dec-17
47,10/18/2017,100022,1025,UA,10,1-Dec-17
47,10/10/2017,100023,1164,UA,9,1-Dec-17
47,9/8/2017,100023,1164,UA,9,1-Dec-17
47,10/27/2017,100023,1164,UA,9,1-Dec-17
47,9/14/2017,100023,1164,UA,9,1-Dec-17
47,9/20/2017,100023,1164,UA,9,1-Dec-17
47,10/23/2017,100023,1164,UA,9,1-Dec-17
47,10/9/2017,100023,1164,UA,9,1-Dec-17
47,9/25/2017,100023,1164,UA,9,1-Dec-17
47,9/28/2017,100023,1164,UA,9,1-Dec-17
47,9/27/2017,100023,1164,UA,9,1-Dec-17
47,10/18/2017,100023,1164,UA,9,1-Dec-17
47,11/3/2017,100023,1164,UA,9,1-Dec-17
47,10/11/2017,100023,1164,UA,9,1-Dec-17
47,11/9/2017,100023,1164,UA,9,1-Dec-17
47,10/20/2017,100023,1164,UA,9,1-Dec-17
47,10/17/2017,100023,1164,UA,9,1-Dec-17
47,9/7/2017,100023,1164,UA,9,1-Dec-17
47,10/4/2017,100023,1164,UA,9,1-Dec-17
47,10/6/2017,100023,1164,UA,9,1-Dec-17
47,10/6/2017,100024,1141,UA,1,1-Dec-17
47,11/13/2017,100024,1141,EA,1,1-Dec-17
47,9/19/2017,100024,1141,UA,1,1-Dec-17
47,10/9/2017,100024,1141,EA,1,1-Dec-17
47,10/24/2017,100024,1141,UA,1,1-Dec-17
47,9/14/2017,100025,1067,EA,9,1-Dec-17
47,10/23/2017,100025,1067,EA,9,1-Dec-17
47,10/27/2017,100025,1067,EA,9,1-Dec-17
47,10/12/2017,100025,1067,EA,9,1-Dec-17
47,11/9/2017,100025,1067,EA,9,1-Dec-17
47,10/19/2017,100026,1090,OSS,11,1-Dec-17
47,10/17/2017,100026,1090,OSS,11,1-Dec-17
47,9/26/2017,100026,1090,UA,11,1-Dec-17
47,9/11/2017,100026,1090,UA,11,1-Dec-17
47,9/12/2017,100026,1090,UA,11,1-Dec-17
47,10/6/2017,100026,1090,UA,11,1-Dec-17
47,10/10/2017,100026,1090,UA,11,1-Dec-17
47,10/20/2017,100026,1090,OSS,11,1-Dec-17
47,10/18/2017,100026,1090,OSS,11,1-Dec-17
47,10/11/2017,100026,1090,UA,11,1-Dec-17
47,10/3/2017,100026,1090,UA,11,1-Dec-17
47,9/29/2017,100026,1090,UA,11,1-Dec-17
47,9/6/2017,100026,1090,UA,11,1-Dec-17
47,9/7/2017,100026,1090,UA,11,1-Dec-17
47,11/3/2017,100026,1090,UA,11,1-Dec-17
47,10/16/2017,100026,1090,OSS,11,1-Dec-17
47,10/30/2017,100027,1091,EA,5,1-Dec-17
47,10/24/2017,100028,1111,EA,9,1-Dec-17
47,9/25/2017,100028,1111,EA,9,1-Dec-17
47,9/29/2017,100028,1111,EA,9,1-Dec-17
47,9/28/2017,100028,1111,EA,9,1-Dec-17
47,10/24/2017,100029,1084,EA,7,1-Dec-17
47,9/12/2017,100029,1084,EA,7,1-Dec-17
47,10/20/2017,100029,1084,EA,7,1-Dec-17
47,10/25/2017,100030,1061,UA,6,1-Dec-17
47,11/13/2017,100031,1187,UA,10,1-Dec-17
47,10/9/2017,100032,1051,EA,10,1-Dec-17
47,10/23/2017,100032,1051,EA,10,1-Dec-17
47,10/24/2017,100032,1051,UA,10,1-Dec-17
47,11/6/2017,100032,1051,UA,10,1-Dec-17
47,10/3/2017,100032,1051,EA,10,1-Dec-17
47,10/20/2017,100032,1051,EA,10,1-Dec-17
47,10/19/2017,100032,1051,EA,10,1-Dec-17
47,10/19/2017,100033,1045,UA,3,1-Dec-17
47,11/14/2017,100033,1045,UA,3,1-Dec-17
47,10/23/2017,100033,1045,UA,3,1-Dec-17
47,10/20/2017,100033,1045,UA,3,1-Dec-17
47,10/26/2017,100033,1045,UA,3,1-Dec-17
47,10/13/2017,100034,1125,UA,1,1-Dec-17
47,9/18/2017,100034,1125,UA,1,1-Dec-17
47,11/1/2017,100035,1157,UA,11,1-Dec-17
47,10/19/2017,100035,1157,UA,11,1-Dec-17
47,9/26/2017,100035,1157,UA,11,1-Dec-17
47,10/10/2017,100035,1157,UA,11,1-Dec-17
47,10/23/2017,100035,1157,UA,11,1-Dec-17
47,10/13/2017,100035,1157,UA,11,1-Dec-17
47,10/30/2017,100035,1157,UA,11,1-Dec-17
47,10/4/2017,100035,1157,UA,11,1-Dec-17
47,10/26/2017,100035,1157,UA,11,1-Dec-17
47,10/11/2017,100035,1157,UA,11,1-Dec-17
47,10/18/2017,100035,1157,UA,11,1-Dec-17
47,10/2/2017,100035,1157,UA,11,1-Dec-17
47,10/5/2017,100036,1018,EA,9,1-Dec-17
47,10/27/2017,100037,1098,UA,2,1-Dec-17
47,10/11/2017,100037,1098,UA,2,1-Dec-17
47,10/30/2017,100037,1098,UA,2,1-Dec-17
47,9/6/2017,100037,1098,UA,2,1-Dec-17
47,10/24/2017,100037,1098,UA,2,1-Dec-17
47,10/20/2017,100037,1098,UA,2,1-Dec-17
47,9/12/2017,100037,1098,UA,2,1-Dec-17
47,10/19/2017,100037,1098,UA,2,1-Dec-17
