,city,total_absences,percent_missed
0,Kansas City,12,31.5789473684211
1,Topeka,5,10.6382978723404
2,Kansas City,5,10.6382978723404
3,Kansas City,13,27.6595744680851
4,Topeka,5,10.6382978723404
5,Overland Park,12,25.531914893617
6,White Cloud,8,17.0212765957447
7,Topeka,15,31.9148936170213
8,Kansas City,12,25.531914893617
9,Topeka,5,10.6382978723404
10,Kansas City,6,12.7659574468085
11,Kansas City,16,34.0425531914894
12,Kansas City,12,25.531914893617
13,Overland Park,5,10.6382978723404
14,Topeka,16,34.0425531914894
15,Overland Park,15,31.9148936170213
16,Topeka,9,19.5652173913043
17,Topeka,8,17.0212765957447
18,Bronson,23,48.936170212766
19,Overland Park,8,17.0212765957447
20,Topeka,17,36.1702127659575
21,Kansas City,5,10.8695652173913
22,Topeka,15,31.9148936170213
23,Topeka,19,40.4255319148936
24,Topeka,6,12.7659574468085
25,Kansas City,5,10.6382978723404
26,Topeka,10,21.2765957446808
27,Topeka,7,14.8936170212766
28,Overland Park,5,10.6382978723404
29,Topeka,13,27.6595744680851
30,Topeka,7,20.5882352941176
31,New Albany,10,21.2765957446808
32,Topeka,21,44.6808510638298
33,Topeka,6,12.7659574468085
34,Topeka,10,21.2765957446808
35,Topeka,9,19.1489361702128
36,Topeka,10,50
37,Topeka,14,29.7872340425532
38,Topeka,9,19.1489361702128
39,Topeka,8,17.0212765957447
40,Overland Park,5,10.6382978723404
41,Topeka,6,12.7659574468085
42,Overland Park,5,10.6382978723404
43,Topeka,9,19.1489361702128
44,Topeka,7,23.3333333333333
45,Topeka,6,12.7659574468085
46,Topeka,8,17.0212765957447
47,Topeka,12,25.531914893617
48,Topeka,5,10.6382978723404
49,Topeka,11,23.4042553191489
50,Topeka,17,36.1702127659575
51,Topeka,10,21.2765957446808
52,Topeka,11,23.4042553191489
53,Kansas City,22,46.8085106382979
54,Topeka,20,42.5531914893617
55,Lenexa,6,12.7659574468085
56,Kansas City,20,42.5531914893617
57,Topeka,7,14.8936170212766
58,Topeka,6,12.7659574468085
59,Topeka,23,48.936170212766
60,Topeka,5,10.6382978723404
61,Vermillion,5,10.6382978723404
62,Overland Park,7,14.8936170212766
